,date,rate,doac,population
0,2018-09-01,17.29507339727273,111.0,6064
1,2018-10-01,18.480726454798706,116.0,6084
2,2018-11-01,19.23266391248309,121.0,6101
3,2018-12-01,17.098339907956596,109.0,6113
4,2019-01-01,19.74120251035547,131.0,6123
5,2019-02-01,18.092135840743783,119.0,6138
6,2019-03-01,19.317373101477465,127.0,6145
7,2019-04-01,19.756333798501768,131.0,6163
8,2019-05-01,19.82783723164133,129.0,6185
9,2019-06-01,20.076412119262642,129.0,6197
10,2019-07-01,18.957322522181705,134.0,6211
11,2019-08-01,19.01695474289863,124.0,6222
12,2019-09-01,18.44285218639574,127.0,6229
13,2019-10-01,20.761147143407648,139.0,6237
14,2019-11-01,19.983255726700893,137.0,6267
15,2019-12-01,19.256333030873467,136.0,6282
16,2020-01-01,21.25197676571897,145.0,6291
17,2020-02-01,20.278600990147204,138.0,6303
18,2020-03-01,23.927857512666808,164.0,6311
19,2020-04-01,20.00828497943423,136.0,6311
20,2020-05-01,23.03623661212423,149.0,6294
21,2020-06-01,22.464237870125604,146.0,6288
22,2020-07-01,24.9554976497754,163.0,6298
23,2020-08-01,22.089960957351753,141.0,6298
24,2020-09-01,22.649270059235757,148.0,6301
25,2020-10-01,22.111016419205537,148.0,6311
26,2020-11-01,22.608657638217476,155.0,6318
27,2020-12-01,23.381165848525864,155.0,6298
28,2021-01-01,22.135291650463845,146.0,6296
29,2021-02-01,21.14790565657908,141.0,6268
30,2021-03-01,22.549002860928617,152.0,6252
31,2021-04-01,20.733335803921012,142.0,6243
32,2021-05-01,21.666809050655868,139.0,6247
