,date,rate,doac,population
0,2019-09-01,56.24732080997292,345.0,6949
1,2019-10-01,56.72999514608787,369.0,6988
2,2019-11-01,58.64053087175196,370.0,7016
3,2019-12-01,61.15749609989198,376.0,7054
4,2020-01-01,56.048059829281804,387.0,7080
5,2020-02-01,64.83294607390188,374.0,7125
6,2020-03-01,58.31263411016843,412.0,7184
7,2020-04-01,60.475055878275406,396.0,7247
8,2020-05-01,61.32708376344223,399.0,7239
9,2020-06-01,59.37802877478762,393.0,7213
10,2020-07-01,63.37612622393158,430.0,7243
11,2020-08-01,63.84083933446157,414.0,7286
12,2020-09-01,58.77301489120955,410.0,7319
13,2020-10-01,60.69475183019501,427.0,7362
14,2020-11-01,62.157329419159616,416.0,7401
15,2020-12-01,53.9183640985683,437.0,7461
16,2021-01-01,52.770437526440965,431.0,7488
17,2021-02-01,50.85951813637768,414.0,7503
18,2021-03-01,56.40840535074611,442.0,7503
19,2021-04-01,52.127090966928606,427.0,7515
20,2021-05-01,52.44853943405608,417.0,7530
